Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date
Europe,Belgium,Vegetables,Offline,M,9/18/15,833914935,10/23/15
Europe,United Kingdom,Household,Online,M,7/31/10,901227223,9/12/10
Asia,Uzbekistan,Cosmetics,Online,C,12/10/10,148478782,1/26/11
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,H,7/14/13,189780938,7/18/13
Sub-Saharan Africa,Comoros,Cereal,Offline,H,5/15/12,909557521,5/23/12
Sub-Saharan Africa,Comoros,Household,Offline,C,2/5/10,912544858,2/22/10
Middle East and North Africa,Kuwait,Clothes,Online,L,3/24/14,673791778,4/20/14
Europe,Macedonia,Meat,Offline,L,8/7/10,288659608,9/22/10
Asia,Cambodia,Vegetables,Online,L,8/20/12,822822177,9/10/12
Europe,United Kingdom,Vegetables,Online,M,2/8/12,262265813,2/23/12
Sub-Saharan Africa,Sao Tome and Principe,Snacks,Offline,H,3/12/13,263289344,4/6/13
Sub-Saharan Africa,Mauritius ,Clothes,Offline,M,8/1/13,302504098,8/14/13
Central America and the Caribbean,Jamaica,Cosmetics,Offline,L,10/22/15,826833903,11/23/15
Europe,Germany,Snacks,Offline,C,11/21/15,103515088,1/3/16
Europe,Switzerland,Clothes,Online,H,9/15/14,970096480,11/4/14
Europe,Netherlands,Meat,Offline,C,3/15/14,484439408,3/31/14
Australia and Oceania,Kiribati,Snacks,Online,M,8/4/13,274717700,9/21/13
Central America and the Caribbean,Panama,Vegetables,Online,M,3/1/13,689417684,3/10/13
Central America and the Caribbean,Cuba,Personal Care,Offline,L,6/26/10,347338187,7/4/10
Sub-Saharan Africa,Republic of the Congo,Snacks,Offline,C,9/30/11,187590539,10/11/11
Europe,Greece,Household,Online,C,11/10/12,319598567,12/6/12
Sub-Saharan Africa,Eritrea,Cosmetics,Online,C,10/19/10,473098599,11/10/10
Europe,Romania,Household,Offline,H,12/16/14,448139464,12/24/14
Asia,China,Cereal,Online,L,1/28/13,565082490,2/3/13
Europe,Bulgaria,Clothes,Online,C,11/24/12,314601504,12/19/12
Asia,Singapore,Office Supplies,Offline,M,8/27/15,607682836,10/5/15
Central America and the Caribbean,Costa Rica,Cereal,Offline,H,4/10/12,625625312,4/18/12
Sub-Saharan Africa,Lesotho,Meat,Offline,C,6/27/17,970040261,7/6/17
Middle East and North Africa,Iraq,Office Supplies,Online,C,12/31/12,512851512,1/3/13
Asia,Taiwan,Office Supplies,Online,M,11/14/11,446295392,12/1/11
Europe,Bulgaria,Fruits,Offline,H,11/15/16,232920730,12/1/16
Europe,Latvia,Cosmetics,Online,L,9/11/16,755588853,10/9/16
Europe,Italy,Snacks,Offline,M,6/13/12,267473590,7/1/12
Middle East and North Africa,Israel,Vegetables,Online,H,11/20/13,242061269,12/5/13
Asia,Mongolia,Cosmetics,Offline,L,11/22/12,423150718,1/1/13
Europe,Andorra,Vegetables,Offline,M,7/23/17,174853265,8/12/17
Europe,Denmark,Cosmetics,Online,C,7/17/10,731592738,8/12/10
Sub-Saharan Africa,Democratic Republic of the Congo,Office Supplies,Offline,M,6/3/13,248105466,7/15/13
Europe,Belgium,Fruits,Online,H,10/9/14,549440276,11/14/14
Sub-Saharan Africa,Mauritius ,Vegetables,Offline,L,10/20/11,380958497,12/3/11
Europe,Macedonia,Household,Offline,H,2/19/14,358333957,3/28/14
Asia,Thailand,Snacks,Offline,C,5/3/17,717552983,5/5/17
Europe,Greece,Personal Care,Online,L,3/24/14,864914405,4/6/14
Europe,Montenegro,Fruits,Offline,L,11/7/13,727029550,11/13/13
Asia,Kyrgyzstan,Personal Care,Offline,M,12/15/14,300822246,12/22/14
Sub-Saharan Africa,Mauritania,Snacks,Offline,M,5/7/17,103528821,5/13/17
Sub-Saharan Africa,Burundi,Office Supplies,Offline,C,7/20/10,722698104,8/18/10
North America,Mexico,Office Supplies,Offline,M,6/7/15,566191422,6/23/15
Central America and the Caribbean,Trinidad and Tobago,Cosmetics,Offline,M,4/13/12,812182605,5/29/12
Middle East and North Africa,Iraq,Household,Online,M,9/29/12,459157979,10/10/12
Central America and the Caribbean,Trinidad and Tobago,Baby Food,Online,C,8/7/10,375916373,9/18/10
Europe,Vatican City,Baby Food,Offline,C,10/31/15,151569116,12/1/15
Central America and the Caribbean,Honduras,Personal Care,Online,M,12/25/12,345540034,1/4/13
Central America and the Caribbean,Saint Kitts and Nevis ,Meat,Online,L,5/24/10,237565457,6/18/10
Sub-Saharan Africa,Chad,Meat,Online,H,9/2/13,977694213,9/10/13
Sub-Saharan Africa,Mali,Cosmetics,Online,M,5/4/14,636287629,5/11/14
Europe,France,Cereal,Offline,M,5/8/16,954019534,5/15/16
Central America and the Caribbean,Dominican Republic,Personal Care,Offline,H,2/26/17,591876256,3/2/17
Middle East and North Africa,Oman,Fruits,Offline,H,6/23/11,981156623,7/31/11
Sub-Saharan Africa,Liberia,Cosmetics,Offline,L,3/30/10,473471963,4/4/10
Middle East and North Africa,Tunisia ,Clothes,Offline,M,2/6/14,190746104,3/24/14
Europe,Norway,Cereal,Online,H,3/5/17,875215375,3/14/17
Central America and the Caribbean,Honduras,Vegetables,Offline,H,11/18/10,639428603,12/25/10
Sub-Saharan Africa,South Sudan,Fruits,Offline,L,5/30/10,816247117,6/30/10
Sub-Saharan Africa,Eritrea,Baby Food,Offline,M,2/2/13,108844745,3/7/13
Central America and the Caribbean,Honduras,Vegetables,Online,M,4/25/17,440707814,6/10/17
Europe,Belgium,Baby Food,Offline,M,3/6/11,205635154,3/20/11
Europe,Russia,Household,Online,C,2/17/14,117738091,4/1/14
Middle East and North Africa,Oman,Baby Food,Online,M,8/14/12,961440455,9/9/12
Europe,Spain,Office Supplies,Offline,M,11/11/16,441478574,12/3/16
Sub-Saharan Africa,Botswana,Meat,Online,L,8/26/11,832901275,9/22/11
Australia and Oceania,Tuvalu,Meat,Online,C,2/12/13,431069886,4/2/13
Asia,Myanmar,Snacks,Offline,M,12/20/11,301658236,1/24/12
Europe,Spain,Personal Care,Online,L,2/11/15,230652654,3/30/15
Asia,Vietnam,Cereal,Online,C,8/5/11,974351966,9/7/11
Sub-Saharan Africa,Namibia,Cereal,Online,C,3/28/14,209367501,4/2/14
Sub-Saharan Africa,The Gambia,Beverages,Offline,L,6/8/10,182623088,6/24/10
Asia,India,Cosmetics,Offline,M,5/9/11,961355054,6/5/11
Asia,Taiwan,Beverages,Offline,M,4/18/10,883112227,5/29/10
Europe,Liechtenstein,Household,Online,C,10/12/16,605755937,11/4/16
Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,Online,H,11/17/14,857460010,12/14/14
Europe,Slovenia,Fruits,Online,L,6/11/12,186710774,7/1/12
Asia,Bangladesh,Cosmetics,Online,C,8/15/14,812307059,8/22/14
Asia,Sri Lanka,Office Supplies,Online,H,6/17/12,973360192,6/23/12
Asia,Turkmenistan,Vegetables,Online,L,1/5/17,779294002,1/31/17
Europe,Belgium,Cosmetics,Online,L,2/9/10,859844815,3/15/10
Middle East and North Africa,Libya,Cosmetics,Offline,C,4/14/16,115061461,5/25/16
Europe,Germany,Meat,Online,M,9/19/15,665305268,10/5/15
Central America and the Caribbean,Saint Lucia,Cereal,Online,L,2/19/16,201250064,3/11/16
Sub-Saharan Africa,Rwanda,Baby Food,Online,H,3/17/11,533882176,4/14/11
Asia,Turkmenistan,Cereal,Offline,C,7/31/14,844500434,9/18/14
Central America and the Caribbean,The Bahamas,Cosmetics,Offline,L,9/9/10,834716165,9/17/10
Central America and the Caribbean,Dominica,Baby Food,Offline,L,7/14/11,276453197,8/2/11
North America,United States of America,Cereal,Online,H,1/10/15,361947858,1/18/15
Middle East and North Africa,Israel,Cosmetics,Offline,H,5/14/16,553748977,6/23/16
Asia,Taiwan,Household,Offline,H,10/27/11,834717881,12/7/11
Europe,Germany,Cereal,Online,C,1/24/10,358028399,2/22/10
Sub-Saharan Africa,Mauritania,Personal Care,Offline,H,4/14/13,597166860,5/17/13
Sub-Saharan Africa,Guinea-Bissau,Personal Care,Offline,C,5/13/13,395932090,6/2/13
Europe,Monaco,Cosmetics,Online,L,10/27/10,918435418,11/18/10
Europe,Hungary,Personal Care,Offline,L,1/10/11,699100673,1/18/11
Asia,Japan,Household,Offline,L,11/6/12,592664182,11/16/12
Europe,Bulgaria,Personal Care,Online,L,6/7/12,624174773,7/27/12
Australia and Oceania,Australia,Baby Food,Offline,M,7/22/14,438993775,8/1/14
Asia,China,Snacks,Online,L,9/15/13,652795016,9/29/13
Central America and the Caribbean,Saint Kitts and Nevis ,Clothes,Online,L,1/3/13,601564824,2/21/13
Middle East and North Africa,Israel,Vegetables,Offline,H,11/11/12,591602027,12/16/12
Australia and Oceania,Tonga,Fruits,Offline,L,9/29/14,549517953,10/11/14
Sub-Saharan Africa,Cote d'Ivoire,Baby Food,Offline,C,5/23/17,472236430,5/28/17
Asia,Brunei,Snacks,Offline,L,1/18/13,876993787,1/21/13
Sub-Saharan Africa,Mauritius ,Cosmetics,Online,L,12/12/13,551338851,1/15/14
Asia,China,Fruits,Offline,C,9/3/10,603132951,10/10/10
Sub-Saharan Africa,Tanzania,Fruits,Offline,L,10/20/13,410549914,11/29/13
Central America and the Caribbean,Costa Rica,Cosmetics,Offline,M,4/6/12,772076070,5/12/12
Central America and the Caribbean,Haiti,Cosmetics,Online,C,12/22/14,756510245,12/26/14
Europe,Poland,Cereal,Online,L,10/12/16,852963769,11/21/16
Sub-Saharan Africa,Zimbabwe,Snacks,Online,C,5/17/17,720860469,6/10/17
Sub-Saharan Africa,Democratic Republic of the Congo,Cereal,Offline,H,7/7/17,539936673,7/7/17
Australia and Oceania,Samoa ,Household,Offline,M,3/27/15,560241210,3/31/15
Sub-Saharan Africa,Burkina Faso,Cereal,Online,L,3/18/17,652135407,4/19/17
Middle East and North Africa,Morocco,Baby Food,Online,L,4/2/12,756293094,4/18/12
Sub-Saharan Africa,Sierra Leone,Clothes,Online,M,12/11/12,433700597,12/18/12
Europe,Bulgaria,Snacks,Offline,M,1/7/14,215656745,2/18/14
Asia,Philippines,Office Supplies,Offline,C,4/3/11,253772866,4/21/11
Middle East and North Africa,Israel,Beverages,Online,C,11/13/12,769972789,12/8/12
Europe,Macedonia,Vegetables,Online,L,12/29/12,706492841,1/12/13
Asia,China,Snacks,Online,C,8/12/10,875881850,9/5/10
Asia,Thailand,Vegetables,Offline,L,5/6/13,811001145,5/14/13
Middle East and North Africa,Somalia,Snacks,Online,M,12/11/10,115024554,12/19/10
Sub-Saharan Africa,Guinea-Bissau,Cereal,Offline,C,12/12/16,711438405,1/8/17
Europe,United Kingdom,Baby Food,Offline,H,11/19/11,994041526,11/28/11
Middle East and North Africa,Bahrain,Cereal,Offline,C,3/15/15,776945245,3/24/15
Sub-Saharan Africa,Lesotho,Baby Food,Online,L,5/4/13,844573390,5/26/13
Europe,France,Vegetables,Offline,H,7/12/16,701662290,7/17/16
Middle East and North Africa,Libya,Meat,Online,L,2/13/17,823260772,2/17/17
Central America and the Caribbean,Jamaica,Clothes,Offline,M,2/10/16,404730165,3/10/16
Middle East and North Africa,Pakistan,Personal Care,Online,L,10/10/11,511744296,11/5/11
North America,Mexico,Cereal,Offline,H,1/8/11,930289494,1/14/11
Europe,Spain,Meat,Offline,C,6/20/10,616664588,7/9/10
Sub-Saharan Africa,Uganda,Household,Offline,L,5/15/15,847480905,6/10/15
Australia and Oceania,New Zealand,Snacks,Offline,H,2/9/13,269662272,3/9/13
Sub-Saharan Africa,Ghana,Clothes,Online,M,11/11/14,750445020,12/20/14
Sub-Saharan Africa,Liberia,Fruits,Offline,C,12/7/13,627377974,12/16/13
Europe,Macedonia,Cereal,Offline,H,4/4/12,558322465,4/11/12
Europe,Lithuania,Beverages,Online,H,8/20/16,371452319,9/24/16
Europe,Macedonia,Office Supplies,Online,M,3/13/12,415253865,3/21/12
Europe,Slovenia,Baby Food,Offline,L,8/30/11,208525931,10/3/11
Central America and the Caribbean,Barbados,Cereal,Online,M,8/25/13,690379846,9/25/13
Australia and Oceania,Papua New Guinea,Cosmetics,Offline,C,1/25/14,170239436,1/28/14
Sub-Saharan Africa,Zambia,Vegetables,Offline,L,6/19/17,177841031,7/14/17
Asia,Brunei,Beverages,Offline,C,7/7/10,513233458,7/7/10
Sub-Saharan Africa,The Gambia,Baby Food,Online,H,4/3/11,596778047,4/7/11
Asia,Kazakhstan,Household,Offline,M,4/9/12,819148623,5/24/12
Central America and the Caribbean,Trinidad and Tobago,Clothes,Offline,H,10/21/14,291331517,12/5/14
Sub-Saharan Africa,Gabon,Vegetables,Offline,C,5/11/17,894625556,5/28/17
Europe,Liechtenstein,Baby Food,Online,L,12/9/11,530642068,1/14/12
Asia,North Korea,Household,Online,C,7/16/10,771304881,7/29/10
Asia,North Korea,Beverages,Offline,L,1/30/11,108850324,2/26/11
Asia,Tajikistan,Vegetables,Online,L,5/2/16,705827224,6/12/16
Sub-Saharan Africa,Togo,Vegetables,Offline,L,12/27/14,745096909,1/29/15
Europe,Kosovo,Meat,Offline,C,9/23/15,279833209,10/12/15
Europe,Spain,Baby Food,Online,H,2/27/13,783522450,3/28/13
North America,Canada,Cosmetics,Offline,H,4/23/14,199963462,5/23/14
Central America and the Caribbean,Trinidad and Tobago,Fruits,Online,M,2/16/12,593267571,2/19/12
Europe,Romania,Fruits,Offline,L,12/27/11,497858607,1/14/12
Europe,Macedonia,Cosmetics,Online,C,10/1/12,768472898,10/8/12
Europe,Iceland,Cosmetics,Offline,L,7/26/10,530159270,9/6/10
Asia,Myanmar,Snacks,Online,C,3/19/10,328279054,3/24/10
Sub-Saharan Africa,Cameroon,Cosmetics,Online,M,9/30/13,778506076,10/20/13
Middle East and North Africa,Libya,Clothes,Offline,C,9/22/16,316826665,10/14/16
Asia,Malaysia,Vegetables,Offline,C,12/22/11,149539649,1/26/12
Central America and the Caribbean,Dominican Republic,Office Supplies,Online,C,2/10/16,203256356,3/28/16
Europe,Portugal,Meat,Online,C,9/24/12,474900615,10/26/12
Europe,Andorra,Beverages,Offline,M,10/17/16,581708753,11/16/16
Asia,China,Cereal,Offline,C,4/1/10,211229598,4/18/10
Central America and the Caribbean,Costa Rica,Cosmetics,Offline,C,12/17/13,471324479,1/21/14
Middle East and North Africa,Jordan,Meat,Offline,M,10/19/15,740167224,10/30/15
Asia,India,Beverages,Offline,C,4/2/12,916244161,5/10/12
Central America and the Caribbean,Panama,Personal Care,Online,H,4/1/12,968354117,5/17/12
Europe,Netherlands,Office Supplies,Online,L,8/20/10,485608422,9/17/10
Europe,Armenia,Fruits,Online,C,8/31/14,927430903,9/16/14
Sub-Saharan Africa,Sierra Leone,Snacks,Online,C,7/14/17,673557889,7/19/17
Europe,Bulgaria,Baby Food,Offline,H,4/10/17,874038207,5/9/17
Central America and the Caribbean,Guatemala,Fruits,Offline,H,12/26/12,499233186,1/29/13
Asia,Vietnam,Cosmetics,Offline,H,3/13/16,389816653,3/17/16
Middle East and North Africa,Libya,Cereal,Offline,H,10/12/16,106774938,11/20/16
Europe,Portugal,Personal Care,Offline,H,1/12/17,181406867,2/5/17
Europe,Romania,Beverages,Online,L,9/26/12,765323770,10/5/12
Middle East and North Africa,Israel,Fruits,Online,L,2/11/12,280449473,3/16/12
Europe,Netherlands,Clothes,Offline,L,11/10/16,369020307,12/27/16
Europe,Slovakia,Personal Care,Offline,H,10/26/10,943585097,12/5/10
Europe,Montenegro,Household,Offline,C,10/1/16,637005174,10/15/16
Sub-Saharan Africa,Mali,Beverages,Offline,C,11/4/16,852454364,11/15/16
Australia and Oceania,Vanuatu,Cosmetics,Offline,L,1/21/17,813418996,2/27/17
Sub-Saharan Africa,Malawi,Cosmetics,Online,H,1/23/13,713697898,2/25/13
Australia and Oceania,Australia,Household,Offline,H,9/28/16,367402398,10/2/16
Europe,Luxembourg,Fruits,Online,M,7/15/14,558956325,8/31/14
Middle East and North Africa,United Arab Emirates,Office Supplies,Offline,H,8/31/16,793096005,9/17/16
Sub-Saharan Africa,Mauritania,Personal Care,Offline,H,6/29/15,644870269,7/10/15
Europe,Croatia,Cosmetics,Online,M,1/2/12,209640443,2/10/12
Europe,Macedonia,Meat,Offline,C,1/20/12,553080356,3/6/12
Central America and the Caribbean,Saint Lucia,Clothes,Offline,H,12/22/14,561176335,2/5/15
Sub-Saharan Africa,Zimbabwe,Cereal,Offline,M,5/21/17,990227210,6/24/17
Asia,Japan,Office Supplies,Online,L,12/20/16,416844308,1/13/17
Middle East and North Africa,Pakistan,Baby Food,Online,L,4/4/16,187951457,4/22/16
Central America and the Caribbean,The Bahamas,Office Supplies,Offline,L,4/10/11,370784986,5/8/11
Europe,United Kingdom,Clothes,Online,C,6/20/10,202893722,6/27/10
Europe,Slovenia,Household,Online,C,10/14/15,342138993,11/3/15
Middle East and North Africa,Saudi Arabia,Clothes,Offline,M,4/17/11,616694629,5/7/11
Europe,Liechtenstein,Household,Online,L,6/4/12,475046956,6/29/12
Asia,Japan,Baby Food,Offline,M,9/29/16,335994803,11/8/16
Asia,Mongolia,Baby Food,Online,H,4/24/15,238649499,5/26/15
Sub-Saharan Africa,Seychelles ,Cosmetics,Offline,M,8/6/11,292434871,8/16/11
Central America and the Caribbean,Dominican Republic,Clothes,Offline,H,2/23/10,227087247,4/7/10
Sub-Saharan Africa,South Sudan,Beverages,Offline,H,10/15/12,742655456,11/23/12
Middle East and North Africa,Oman,Clothes,Online,M,11/2/14,359500825,11/22/14
Europe,Switzerland,Office Supplies,Online,L,6/15/16,368297183,7/31/16
Europe,Vatican City,Clothes,Online,M,4/22/11,780030858,6/1/11
Europe,Monaco,Clothes,Offline,H,1/14/13,776000678,1/27/13
Europe,Bosnia and Herzegovina,Cereal,Offline,C,8/28/13,957817971,10/8/13
Central America and the Caribbean,Cuba,Household,Offline,H,1/7/10,197406566,2/12/10
Central America and the Caribbean,Guatemala,Beverages,Online,H,3/8/15,587002789,4/1/15
Asia,Tajikistan,Household,Online,M,10/10/16,689155471,10/30/16
Sub-Saharan Africa,Eritrea,Fruits,Offline,L,1/22/11,486725938,1/24/11
Europe,Serbia,Cereal,Offline,C,4/16/14,932888019,5/23/14
Middle East and North Africa,Turkey,Personal Care,Online,L,7/3/13,801128041,7/5/13
Europe,Finland,Baby Food,Online,C,9/22/15,735244834,10/9/15
Australia and Oceania,Marshall Islands,Office Supplies,Offline,M,11/27/13,999349725,12/9/13
Central America and the Caribbean,Nicaragua,Cereal,Online,H,6/2/13,127866542,6/8/13
Sub-Saharan Africa,Seychelles ,Snacks,Online,L,2/15/13,775531613,3/20/13
Europe,Switzerland,Beverages,Online,L,9/29/16,267393767,10/11/16
Europe,Croatia,Snacks,Online,M,11/30/13,948814332,12/29/13
Europe,Luxembourg,Household,Offline,M,4/6/14,735467135,4/9/14
Sub-Saharan Africa,Rwanda,Baby Food,Online,L,5/5/13,763338506,5/29/13
Asia,China,Personal Care,Offline,C,7/23/11,438727271,8/5/11
Middle East and North Africa,Turkey,Clothes,Online,L,5/17/10,588244760,5/26/10
Middle East and North Africa,Turkey,Fruits,Offline,H,2/12/16,308814799,3/19/16
Central America and the Caribbean,Grenada,Fruits,Offline,H,6/11/13,117673718,7/15/13
Europe,Austria,Fruits,Online,L,8/5/14,602370345,9/3/14
Middle East and North Africa,Iraq,Office Supplies,Online,H,2/24/10,170766007,3/7/10
North America,United States of America,Beverages,Offline,M,9/10/10,901034533,9/21/10
North America,United States of America,Clothes,Offline,L,9/18/12,891662251,10/7/12
Sub-Saharan Africa,Republic of the Congo,Cosmetics,Online,L,7/28/17,111447989,8/12/17
Europe,Slovenia,Beverages,Offline,C,7/13/12,849503076,8/26/12
Sub-Saharan Africa,Comoros,Beverages,Online,H,6/6/12,965251338,7/12/12
Asia,Maldives,Snacks,Online,C,6/15/10,638429105,7/23/10
Sub-Saharan Africa,Comoros,Personal Care,Online,H,3/18/12,119085204,4/18/12
Central America and the Caribbean,El Salvador,Personal Care,Offline,H,10/22/16,177580964,11/4/16
Asia,Uzbekistan,Office Supplies,Offline,H,1/17/13,754590213,2/6/13
Central America and the Caribbean,Guatemala,Household,Online,C,7/8/13,511099278,8/25/13
Sub-Saharan Africa,Botswana,Personal Care,Offline,C,12/12/12,878406989,1/16/13
Sub-Saharan Africa,Uganda,Meat,Offline,L,9/11/14,208124673,10/10/14
Middle East and North Africa,Syria,Snacks,Offline,L,10/30/11,522176158,11/19/11
North America,Greenland,Office Supplies,Online,C,8/16/13,762797772,8/23/13
Asia,Cambodia,Meat,Online,M,6/30/11,842538344,8/2/11
Sub-Saharan Africa,Mauritania,Cereal,Online,L,1/21/13,294259202,3/10/13
Europe,Moldova ,Cosmetics,Online,C,8/23/15,521134173,10/6/15
Europe,Andorra,Vegetables,Online,L,1/25/10,746649587,2/19/10
Middle East and North Africa,Algeria,Personal Care,Online,M,9/20/14,264604270,10/24/14
Sub-Saharan Africa,Equatorial Guinea,Office Supplies,Offline,C,3/10/11,689109551,4/6/11
Asia,Singapore,Household,Online,M,3/16/16,104589259,5/4/16
Middle East and North Africa,Saudi Arabia,Household,Offline,L,4/11/17,715779721,4/17/17
Europe,Russia,Beverages,Offline,H,5/2/14,297729766,6/17/14
Asia,Maldives,Snacks,Online,L,12/11/15,745800721,1/6/16
Sub-Saharan Africa,Burkina Faso,Household,Online,L,10/21/12,425666415,12/4/12
Sub-Saharan Africa,Mauritania,Personal Care,Online,M,10/30/11,923313176,11/10/11
Europe,Latvia,Snacks,Offline,H,3/16/17,295039832,4/11/17
Middle East and North Africa,Somalia,Office Supplies,Online,C,6/22/11,717457711,6/22/11
North America,United States of America,Vegetables,Online,L,4/21/12,837490642,5/27/12
Europe,Luxembourg,Vegetables,Online,H,9/24/15,722374951,11/9/15
Europe,Cyprus,Meat,Offline,H,1/19/15,509659469,2/20/15
Central America and the Caribbean,Panama,Office Supplies,Offline,C,3/17/12,857205522,3/27/12
Asia,Thailand,Snacks,Online,H,12/30/13,693186938,2/2/14
Europe,Norway,Cosmetics,Offline,C,2/15/13,366090047,3/7/13
Central America and the Caribbean,Trinidad and Tobago,Cosmetics,Offline,L,9/25/14,294713675,10/18/14
Sub-Saharan Africa,Benin,Cereal,Online,H,6/11/17,518169152,6/23/17
Sub-Saharan Africa,Mozambique,Office Supplies,Online,M,3/3/17,245880305,4/17/17
Europe,Denmark,Fruits,Offline,C,11/17/10,107583463,12/27/10
Sub-Saharan Africa,Mali,Baby Food,Online,C,7/16/15,803327453,7/21/15
Sub-Saharan Africa,Eritrea,Household,Online,H,4/28/11,853473603,5/12/11
Asia,Indonesia,Vegetables,Offline,M,7/16/13,648695743,8/11/13
Europe,Poland,Snacks,Offline,C,11/7/15,199980199,11/20/15
Middle East and North Africa,Iraq,Vegetables,Offline,L,10/5/16,488625800,11/12/16
Middle East and North Africa,Yemen,Vegetables,Online,L,11/7/15,316243875,12/1/15
Middle East and North Africa,Egypt,Clothes,Online,C,7/18/17,354758250,8/23/17
Middle East and North Africa,Saudi Arabia,Cosmetics,Offline,C,3/9/12,896405255,4/27/12
Middle East and North Africa,Israel,Cosmetics,Offline,M,2/12/10,503733718,3/12/10
Central America and the Caribbean,Saint Vincent and the Grenadines,Fruits,Offline,C,3/6/15,959604966,4/25/15
Central America and the Caribbean,Saint Kitts and Nevis ,Beverages,Online,M,4/29/13,517192828,5/31/13
Asia,Laos,Vegetables,Online,M,4/28/14,649983632,5/2/14
Middle East and North Africa,Pakistan,Baby Food,Online,C,1/16/10,201776206,2/18/10
Europe,Belarus,Snacks,Online,L,2/28/16,336681878,4/18/16
Sub-Saharan Africa,Sao Tome and Principe,Cereal,Online,L,4/29/15,489124476,5/22/15
Europe,Hungary,Clothes,Offline,L,12/22/13,613840329,1/28/14
Sub-Saharan Africa,Chad,Snacks,Offline,H,10/30/15,735878264,11/10/15
Central America and the Caribbean,Grenada,Cereal,Offline,M,7/8/10,500599610,8/7/10
Middle East and North Africa,Libya,Office Supplies,Online,C,4/2/15,523678195,4/18/15
North America,Mexico,Office Supplies,Offline,M,6/8/10,141100347,6/12/10
Asia,Indonesia,Beverages,Offline,M,8/13/11,559164893,9/2/11
Australia and Oceania,Tonga,Vegetables,Offline,L,9/8/12,804483163,10/28/12
Asia,Sri Lanka,Cosmetics,Online,C,5/26/12,873978984,6/13/12
Australia and Oceania,Tuvalu,Clothes,Offline,M,7/25/10,384888684,8/9/10
Central America and the Caribbean,Haiti,Personal Care,Online,M,11/3/11,824761092,11/21/11
Sub-Saharan Africa,Senegal,Clothes,Offline,L,5/21/14,601457536,6/6/14
Australia and Oceania,Samoa ,Meat,Offline,L,8/19/13,893151843,9/27/13
Asia,Thailand,Snacks,Offline,L,8/27/13,698330342,9/24/13
Sub-Saharan Africa,Senegal,Baby Food,Online,M,10/18/15,885791862,10/30/15
Central America and the Caribbean,Guatemala,Personal Care,Offline,L,11/26/14,144647729,1/3/15
Middle East and North Africa,Kuwait,Clothes,Offline,L,9/1/10,834321773,10/6/10
Europe,France,Baby Food,Offline,H,6/3/11,434550321,7/22/11
Middle East and North Africa,Egypt,Fruits,Offline,M,3/14/15,995382201,3/25/15
Central America and the Caribbean,Trinidad and Tobago,Cereal,Online,M,7/12/13,587178742,8/3/13
Middle East and North Africa,Kuwait,Baby Food,Online,M,5/14/10,950613772,5/28/10
Asia,Malaysia,Vegetables,Online,H,9/23/10,746673619,10/28/10
Australia and Oceania,Nauru,Clothes,Online,H,11/28/16,506657111,12/21/16
Europe,Latvia,Vegetables,Offline,C,2/15/17,382175576,3/14/17
Europe,Greece,Meat,Online,H,1/8/12,595152842,2/11/12
Sub-Saharan Africa,Cape Verde,Cosmetics,Offline,M,11/12/10,987825238,12/29/10
Central America and the Caribbean,Haiti,Household,Offline,H,8/24/12,572741591,8/28/12
Middle East and North Africa,Tunisia ,Clothes,Online,M,5/30/17,682763230,6/8/17
Asia,Tajikistan,Meat,Offline,C,12/1/14,921063983,12/4/14
Central America and the Caribbean,Jamaica,Household,Online,H,2/14/11,511130177,3/27/11
Central America and the Caribbean,The Bahamas,Cosmetics,Online,H,11/5/16,546760642,11/18/16
Central America and the Caribbean,Haiti,Office Supplies,Offline,C,9/4/13,842066705,10/2/13
Sub-Saharan Africa,Seychelles ,Fruits,Online,C,10/10/10,381472194,11/8/10
Europe,Albania,Cereal,Online,M,10/15/10,469713437,11/8/10
Middle East and North Africa,Lebanon,Meat,Online,H,8/26/13,681839263,9/3/13
Sub-Saharan Africa,Tanzania,Personal Care,Online,H,10/13/12,213210999,11/23/12
Australia and Oceania,Vanuatu,Baby Food,Online,L,1/11/14,129502475,1/31/14
Asia,Japan,Personal Care,Online,C,9/23/16,216700017,9/28/16
Australia and Oceania,Kiribati,Snacks,Offline,M,7/1/17,331102454,8/17/17
Europe,Spain,Meat,Online,L,1/8/14,849321115,1/13/14
Australia and Oceania,Kiribati,Snacks,Offline,C,5/26/16,418279826,6/28/16
Europe,Estonia,Meat,Offline,H,2/1/13,905214917,3/16/13
Middle East and North Africa,Iran,Office Supplies,Online,L,7/14/12,647675216,8/19/12
Sub-Saharan Africa,Nigeria,Vegetables,Online,C,9/5/16,303522050,10/4/16
Asia,Mongolia,Baby Food,Offline,H,3/5/17,600929248,3/31/17
Central America and the Caribbean,Barbados,Snacks,Offline,L,4/19/14,988383138,6/1/14
Europe,Czech Republic,Personal Care,Offline,H,3/11/13,984682548,4/15/13
Europe,Bulgaria,Vegetables,Online,M,6/24/12,628938806,7/14/12
Sub-Saharan Africa,Nigeria,Snacks,Offline,L,8/23/15,930575740,8/29/15
Asia,Turkmenistan,Baby Food,Offline,C,1/30/12,719329679,2/13/12
Sub-Saharan Africa,Madagascar,Vegetables,Online,L,3/10/11,695249450,3/10/11
Europe,Denmark,Clothes,Online,C,11/8/15,278696382,12/15/15
