Region,Country,Item Type,Sales Channel,Order Priority,Order Date
Sub-Saharan Africa,Djibouti,Meat,Offline,H,2/14/11
Sub-Saharan Africa,Zambia,Clothes,Offline,H,6/30/17
Central America and the Caribbean,Guatemala,Office Supplies,Offline,L,3/2/15
Europe,United Kingdom,Vegetables,Online,H,1/5/16
Sub-Saharan Africa,Democratic Republic of the Congo,Baby Food,Offline,M,1/18/14
Middle East and North Africa,Iran,Baby Food,Online,L,12/5/11
Middle East and North Africa,Syria,Clothes,Offline,L,2/23/17
Middle East and North Africa,Iran,Personal Care,Offline,L,7/25/15
Central America and the Caribbean,Grenada,Beverages,Offline,H,1/6/13
Asia,Laos,Snacks,Online,C,6/1/16
Europe,San Marino,Personal Care,Offline,M,10/25/14
Central America and the Caribbean,Saint Vincent and the Grenadines,Cereal,Offline,M,6/16/13
Sub-Saharan Africa,Lesotho,Meat,Online,L,11/19/14
Australia and Oceania,Solomon Islands,Personal Care,Online,M,2/11/15
Sub-Saharan Africa,Republic of the Congo,Cosmetics,Online,C,1/10/15
Europe,Germany,Cereal,Online,L,7/24/16
Sub-Saharan Africa,Burkina Faso,Baby Food,Online,L,5/15/11
Europe,Denmark,Vegetables,Offline,L,11/16/14
Europe,Germany,Snacks,Offline,C,1/27/17
Sub-Saharan Africa,Chad,Household,Offline,L,8/3/16
Sub-Saharan Africa,Burundi,Meat,Online,L,11/27/16
Europe,United Kingdom,Vegetables,Online,H,12/29/14
Sub-Saharan Africa,Mozambique,Personal Care,Online,L,9/3/12
Asia,Nepal,Cosmetics,Online,H,11/1/12
Middle East and North Africa,Libya,Vegetables,Offline,H,8/24/15
Australia and Oceania,New Zealand,Snacks,Online,L,10/4/14
Europe,Switzerland,Snacks,Offline,H,4/6/16
Australia and Oceania,East Timor,Clothes,Online,M,2/27/12
Sub-Saharan Africa,Angola,Clothes,Offline,M,6/11/14
Asia,North Korea,Cereal,Online,M,6/17/13
Sub-Saharan Africa,Namibia,Household,Offline,M,12/26/11
Central America and the Caribbean,Jamaica,Household,Online,H,11/6/13
Europe,Netherlands,Snacks,Online,M,8/4/12
Middle East and North Africa,Kuwait,Fruits,Offline,M,5/23/10
Middle East and North Africa,Iraq,Vegetables,Offline,L,4/11/14
Central America and the Caribbean,Costa Rica,Cosmetics,Offline,M,3/13/17
Australia and Oceania,Palau,Beverages,Online,H,12/14/16
Sub-Saharan Africa,Mauritania,Personal Care,Offline,M,5/29/12
Australia and Oceania,Samoa ,Cereal,Online,M,11/8/14
Middle East and North Africa,Lebanon,Vegetables,Online,L,12/3/13
Central America and the Caribbean,Panama,Cosmetics,Offline,C,9/4/11
Europe,Belarus,Fruits,Offline,L,3/28/11
Central America and the Caribbean,Haiti,Cosmetics,Offline,H,1/3/13
Sub-Saharan Africa,Togo,Meat,Offline,L,11/20/10
Sub-Saharan Africa,Sao Tome and Principe,Snacks,Offline,M,3/11/11
Asia,Kyrgyzstan,Meat,Online,H,9/24/13
Europe,Switzerland,Clothes,Online,L,8/8/15
Asia,Maldives,Beverages,Offline,H,12/14/14
Asia,China,Cosmetics,Online,C,10/16/14
Europe,Sweden,Meat,Online,C,8/13/11
Asia,Laos,Cereal,Online,M,5/8/14
Asia,Vietnam,Household,Offline,L,4/6/10
Central America and the Caribbean,Barbados,Vegetables,Online,H,3/11/14
Asia,Japan,Personal Care,Offline,H,10/1/11
Sub-Saharan Africa,Cameroon,Vegetables,Online,C,2/13/16
Europe,Spain,Cereal,Offline,C,4/3/11
Sub-Saharan Africa,South Africa,Meat,Offline,L,4/3/16
Asia,Malaysia,Beverages,Offline,L,6/3/13
Sub-Saharan Africa,Lesotho,Clothes,Offline,H,8/15/12
Central America and the Caribbean,The Bahamas,Vegetables,Offline,H,3/21/17
Europe,Georgia,Baby Food,Online,C,9/13/12
Asia,Bhutan,Household,Offline,M,12/5/15
Sub-Saharan Africa,The Gambia,Personal Care,Online,L,9/23/10
Sub-Saharan Africa,Cote d'Ivoire,Household,Online,H,4/19/12
Europe,Macedonia,Beverages,Online,M,5/24/10
Middle East and North Africa,Turkey,Cereal,Online,L,12/23/10
Asia,Cambodia,Baby Food,Online,M,4/17/17
Europe,Liechtenstein,Vegetables,Online,H,12/6/10
Europe,San Marino,Household,Offline,L,3/11/16
Middle East and North Africa,Morocco,Office Supplies,Offline,M,1/4/13
Australia and Oceania,Papua New Guinea,Fruits,Online,C,6/19/16
Australia and Oceania,Tuvalu,Office Supplies,Online,H,5/27/12
Australia and Oceania,East Timor,Fruits,Offline,H,3/29/14
Europe,Belarus,Beverages,Offline,L,9/29/13
Asia,Cambodia,Personal Care,Offline,L,2/9/15
Sub-Saharan Africa,Zambia,Fruits,Online,H,1/3/16
Middle East and North Africa,Iran,Baby Food,Offline,C,5/28/11
Sub-Saharan Africa,Togo,Household,Offline,H,6/20/12
Central America and the Caribbean,Costa Rica,Cosmetics,Offline,M,7/4/12
Central America and the Caribbean,Barbados,Baby Food,Offline,C,6/17/13
Central America and the Caribbean,Panama,Cosmetics,Offline,L,7/18/14
Europe,Netherlands,Baby Food,Offline,M,1/18/16
Asia,Indonesia,Cosmetics,Online,M,7/14/15
Europe,France,Baby Food,Offline,C,8/17/11
Sub-Saharan Africa,Chad,Beverages,Online,L,5/20/15
Europe,Czech Republic,Cereal,Offline,H,3/12/16
Sub-Saharan Africa,Mauritius ,Beverages,Online,L,11/23/15
Sub-Saharan Africa,Burkina Faso,Vegetables,Offline,H,5/14/17
Sub-Saharan Africa,Madagascar,Office Supplies,Offline,C,3/14/13
Australia and Oceania,Nauru,Cosmetics,Online,L,3/16/12
Europe,Cyprus,Personal Care,Offline,H,11/20/12
Australia and Oceania,New Zealand,Fruits,Offline,M,10/28/14
Europe,Croatia,Baby Food,Offline,M,11/13/14
Sub-Saharan Africa,Equatorial Guinea,Meat,Online,L,12/8/10
Australia and Oceania,Nauru,Vegetables,Offline,C,5/16/13
Central America and the Caribbean,Dominican Republic,Beverages,Online,L,11/12/10
Sub-Saharan Africa,Angola,Snacks,Online,H,2/6/12
Asia,Maldives,Fruits,Offline,M,9/7/11
Asia,Tajikistan,Meat,Online,C,8/22/16
Australia and Oceania,Tonga,Clothes,Online,H,5/8/12
Middle East and North Africa,Tunisia ,Cosmetics,Offline,H,10/5/11
Europe,Ireland,Personal Care,Online,L,9/24/13
Middle East and North Africa,Qatar,Fruits,Offline,H,5/29/14
Central America and the Caribbean,Antigua and Barbuda ,Clothes,Online,C,12/31/10
Europe,Serbia,Cereal,Offline,M,2/19/13
Asia,South Korea,Snacks,Online,C,5/16/16
Sub-Saharan Africa,Cameroon,Clothes,Offline,C,7/16/13
Sub-Saharan Africa,Cape Verde,Fruits,Online,C,9/2/13
Sub-Saharan Africa,Guinea,Baby Food,Online,M,7/10/15
Europe,Switzerland,Cosmetics,Online,L,4/30/11
Sub-Saharan Africa,Togo,Fruits,Offline,C,4/27/13
Sub-Saharan Africa,Mauritania,Office Supplies,Online,H,2/2/12
Europe,Switzerland,Baby Food,Offline,M,8/19/10
Middle East and North Africa,Afghanistan,Clothes,Online,M,1/9/13
Europe,Albania,Cereal,Online,M,1/17/13
Europe,Cyprus,Personal Care,Online,L,2/8/13
Asia,Taiwan,Vegetables,Online,H,11/25/12
Europe,Iceland,Beverages,Online,L,3/10/13
Middle East and North Africa,Morocco,Fruits,Online,M,1/2/12
Central America and the Caribbean,Honduras,Snacks,Online,M,1/9/16
Australia and Oceania,Tuvalu,Cosmetics,Offline,H,1/18/14
Central America and the Caribbean,Grenada,Snacks,Online,H,2/8/11
Asia,Tajikistan,Cosmetics,Online,C,1/21/17
Asia,Tajikistan,Vegetables,Online,L,7/19/12
North America,Greenland,Snacks,Offline,L,5/14/13
Middle East and North Africa,Qatar,Household,Offline,H,8/21/13
Europe,Luxembourg,Beverages,Online,C,5/8/12
Middle East and North Africa,Pakistan,Meat,Online,M,2/14/17
Middle East and North Africa,Egypt,Meat,Online,L,2/20/10
Sub-Saharan Africa,Angola,Household,Offline,M,7/3/12
Europe,Slovakia,Clothes,Offline,H,4/27/12
Europe,Finland,Meat,Offline,M,11/22/13
Europe,Belarus,Office Supplies,Online,M,3/27/11
Europe,Bulgaria,Cereal,Online,M,7/27/14
Sub-Saharan Africa,The Gambia,Baby Food,Online,M,4/3/16
Sub-Saharan Africa,South Sudan,Office Supplies,Online,C,4/15/17
Europe,Bulgaria,Clothes,Online,L,12/9/15
Central America and the Caribbean,Dominica,Cereal,Online,M,7/19/11
Central America and the Caribbean,Jamaica,Clothes,Online,C,11/16/15
Middle East and North Africa,Saudi Arabia,Personal Care,Online,C,6/16/11
Central America and the Caribbean,Jamaica,Clothes,Online,M,12/21/15
Sub-Saharan Africa,Sudan,Beverages,Offline,M,4/20/10
Europe,Slovenia,Fruits,Online,M,6/19/10
Sub-Saharan Africa,Namibia,Cosmetics,Online,L,10/31/10
Central America and the Caribbean,Saint Vincent and the Grenadines,Personal Care,Offline,C,8/16/10
Central America and the Caribbean,Honduras,Snacks,Offline,M,2/14/10
Sub-Saharan Africa,Guinea-Bissau,Clothes,Offline,M,6/19/14
Asia,South Korea,Office Supplies,Online,L,9/15/14
Sub-Saharan Africa,Liberia,Meat,Online,H,4/30/14
Middle East and North Africa,Jordan,Cereal,Online,L,4/20/10
Sub-Saharan Africa,South Africa,Office Supplies,Offline,C,1/7/12
Europe,Czech Republic,Personal Care,Online,M,10/18/14
Europe,Netherlands,Clothes,Offline,H,3/26/11
Asia,Brunei,Clothes,Online,C,2/15/10
Middle East and North Africa,Jordan,Meat,Offline,M,7/23/17
Asia,Kazakhstan,Snacks,Online,L,5/23/10
Asia,India,Meat,Online,L,10/8/15
Europe,Serbia,Cereal,Online,H,6/16/16
Asia,Uzbekistan,Fruits,Offline,L,3/27/15
Central America and the Caribbean,Jamaica,Office Supplies,Offline,M,12/6/15
Australia and Oceania,Federated States of Micronesia,Baby Food,Online,H,1/31/12
Asia,Brunei,Office Supplies,Online,L,6/12/13
Asia,Thailand,Snacks,Online,M,11/27/11
Europe,Portugal,Meat,Offline,H,7/21/15
Central America and the Caribbean,Grenada,Meat,Online,M,8/12/14
Asia,Brunei,Snacks,Offline,M,7/11/15
North America,United States of America,Meat,Offline,M,6/8/14
Australia and Oceania,Palau,Vegetables,Online,M,2/14/16
Europe,Liechtenstein,Cosmetics,Offline,L,1/27/15
Sub-Saharan Africa,South Sudan,Household,Offline,M,5/30/14
Sub-Saharan Africa,Mozambique,Meat,Offline,C,7/17/14
North America,United States of America,Cosmetics,Offline,M,12/6/16
Sub-Saharan Africa,Ethiopia,Fruits,Online,M,10/2/12
Asia,China,Cereal,Offline,M,12/19/16
Europe,Georgia,Baby Food,Online,M,7/7/11
Central America and the Caribbean,Guatemala,Cosmetics,Offline,M,4/8/17
Asia,South Korea,Beverages,Offline,M,7/9/14
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,C,11/28/14
North America,Mexico,Cosmetics,Offline,C,3/19/12
Central America and the Caribbean,The Bahamas,Personal Care,Offline,C,6/4/16
Sub-Saharan Africa,Cote d'Ivoire,Meat,Offline,H,2/1/12
Sub-Saharan Africa,Guinea,Meat,Offline,L,2/7/15
Sub-Saharan Africa,Madagascar,Vegetables,Online,M,12/8/15
Sub-Saharan Africa,Madagascar,Household,Offline,M,9/9/13
Middle East and North Africa,Egypt,Cereal,Online,C,4/25/12
Middle East and North Africa,Israel,Beverages,Offline,C,10/31/16
Europe,Vatican City,Household,Offline,L,5/24/14
Sub-Saharan Africa,Eritrea,Personal Care,Offline,L,12/5/15
Sub-Saharan Africa,Lesotho,Beverages,Online,L,7/3/14
Europe,Sweden,Snacks,Online,M,10/29/11
Asia,Turkmenistan,Office Supplies,Offline,H,6/13/14
Sub-Saharan Africa,Lesotho,Personal Care,Online,C,11/7/14
Australia and Oceania,Tonga,Vegetables,Online,M,5/11/10
Asia,Turkmenistan,Office Supplies,Online,M,7/4/14
Asia,China,Clothes,Offline,L,5/25/15
Europe,France,Snacks,Offline,H,4/30/17
Middle East and North Africa,Iran,Office Supplies,Online,M,4/28/14
Europe,Russia,Beverages,Online,L,8/7/16
Central America and the Caribbean,Guatemala,Beverages,Online,H,7/8/16
Sub-Saharan Africa,Mozambique,Personal Care,Offline,H,1/28/15
Sub-Saharan Africa,Gabon,Office Supplies,Online,M,7/16/10
Australia and Oceania,Kiribati,Meat,Online,L,5/24/17
Europe,Austria,Cereal,Online,L,2/10/17
Central America and the Caribbean,Jamaica,Cereal,Offline,H,12/14/14
Asia,Uzbekistan,Personal Care,Offline,M,6/10/13
Australia and Oceania,Fiji,Office Supplies,Online,C,3/6/16
Europe,San Marino,Meat,Online,M,6/19/16
Middle East and North Africa,Algeria,Meat,Online,M,4/1/16
Sub-Saharan Africa,Djibouti,Cosmetics,Offline,L,9/30/14
Sub-Saharan Africa,Senegal,Beverages,Offline,C,3/29/12
Central America and the Caribbean,Costa Rica,Meat,Online,M,11/14/13
Sub-Saharan Africa,Mozambique,Cereal,Offline,L,9/9/10
Australia and Oceania,Fiji,Fruits,Offline,C,9/30/13
Asia,Tajikistan,Cosmetics,Offline,H,6/13/12
Australia and Oceania,Tonga,Cereal,Online,L,3/9/16
Asia,Japan,Cereal,Offline,C,9/13/12
Middle East and North Africa,Azerbaijan,Fruits,Online,L,4/22/17
Asia,Turkmenistan,Office Supplies,Online,M,2/3/16
Asia,Tajikistan,Household,Online,C,2/17/15
Middle East and North Africa,Kuwait,Household,Offline,H,1/2/14
Sub-Saharan Africa,Mali,Cosmetics,Online,M,2/20/17
Europe,Belarus,Snacks,Online,C,11/18/14
Europe,Kosovo,Vegetables,Offline,M,7/27/17
Sub-Saharan Africa,Republic of the Congo,Baby Food,Offline,L,11/22/13
Europe,Austria,Office Supplies,Online,L,7/16/12
Asia,Cambodia,Clothes,Online,M,9/8/15
Middle East and North Africa,Jordan,Office Supplies,Online,M,3/20/15
Australia and Oceania,Vanuatu,Office Supplies,Offline,M,8/26/11
Asia,Brunei,Cereal,Offline,H,5/13/10
Sub-Saharan Africa,Chad,Fruits,Online,M,3/22/10
Australia and Oceania,Fiji,Baby Food,Online,L,12/8/14
Europe,Netherlands,Cereal,Offline,H,2/22/14
Europe,Iceland,Meat,Offline,C,6/25/17
Sub-Saharan Africa,Ghana,Household,Offline,H,12/3/12
Asia,China,Office Supplies,Offline,M,1/7/16
Europe,Romania,Fruits,Online,M,2/2/13
Sub-Saharan Africa,Madagascar,Clothes,Offline,C,6/17/10
Central America and the Caribbean,Grenada,Cereal,Online,L,7/5/15
Sub-Saharan Africa,Sierra Leone,Snacks,Offline,M,3/7/10
Europe,Romania,Cereal,Online,C,5/9/15
Sub-Saharan Africa,Benin,Cosmetics,Online,L,4/23/11
Central America and the Caribbean,Honduras,Beverages,Offline,C,4/7/17
Sub-Saharan Africa,South Africa,Meat,Offline,L,11/10/11
Sub-Saharan Africa,Senegal,Snacks,Online,M,8/23/12
Europe,Lithuania,Snacks,Offline,L,9/29/11
Middle East and North Africa,Qatar,Cosmetics,Offline,H,6/27/17
Europe,Netherlands,Household,Online,L,10/7/12
Asia,Japan,Clothes,Offline,L,10/31/11
Europe,Luxembourg,Cosmetics,Offline,H,1/21/11
Sub-Saharan Africa,Nigeria,Fruits,Offline,H,6/19/15
Australia and Oceania,Tonga,Office Supplies,Online,C,3/14/12
Europe,Malta,Baby Food,Offline,C,3/15/12
Asia,Nepal,Fruits,Offline,H,2/11/16
Sub-Saharan Africa,Rwanda,Cosmetics,Online,C,6/26/10
Sub-Saharan Africa,Zambia,Cereal,Offline,L,1/7/17
Europe,Luxembourg,Clothes,Offline,L,1/19/13
Sub-Saharan Africa,Seychelles ,Vegetables,Online,L,1/19/11
Sub-Saharan Africa,Benin,Vegetables,Online,L,12/24/16
Central America and the Caribbean,Jamaica,Snacks,Offline,H,5/15/11
Europe,Luxembourg,Vegetables,Online,C,8/31/13
Asia,Taiwan,Personal Care,Offline,L,4/24/10
Sub-Saharan Africa,Central African Republic,Beverages,Online,M,7/14/11
Europe,United Kingdom,Baby Food,Online,H,4/4/17
Sub-Saharan Africa,Namibia,Beverages,Online,L,5/2/13
Middle East and North Africa,Yemen,Vegetables,Offline,H,3/8/13
Europe,Georgia,Cereal,Online,H,2/21/16
Asia,Cambodia,Personal Care,Offline,L,4/3/11
Asia,Malaysia,Clothes,Offline,C,5/7/11
Sub-Saharan Africa,Republic of the Congo,Household,Offline,L,5/20/11
Asia,Indonesia,Cereal,Online,L,12/15/14
Europe,United Kingdom,Baby Food,Offline,C,5/16/15
North America,United States of America,Baby Food,Online,L,7/27/14
Sub-Saharan Africa,South Africa,Beverages,Offline,M,10/9/11
Middle East and North Africa,Algeria,Cosmetics,Online,M,11/1/14
Europe,Monaco,Office Supplies,Offline,C,10/1/13
Central America and the Caribbean,Trinidad and Tobago,Beverages,Offline,C,9/19/14
Asia,Vietnam,Fruits,Offline,H,8/23/13
Asia,Sri Lanka,Meat,Offline,H,1/27/15
Middle East and North Africa,Bahrain,Baby Food,Offline,M,4/3/13
Sub-Saharan Africa,Mauritania,Clothes,Offline,L,1/29/11
Australia and Oceania,Fiji,Beverages,Online,M,4/14/16
Europe,Bulgaria,Vegetables,Offline,H,12/15/14
Asia,Tajikistan,Baby Food,Online,L,3/5/13
Europe,Luxembourg,Personal Care,Offline,H,7/9/10
Central America and the Caribbean,Saint Vincent and the Grenadines,Cereal,Offline,M,6/1/11
Middle East and North Africa,Egypt,Snacks,Online,H,10/11/13
Sub-Saharan Africa,Central African Republic,Household,Offline,C,10/20/12
Sub-Saharan Africa,South Africa,Snacks,Online,H,4/30/12
Sub-Saharan Africa,Central African Republic,Baby Food,Offline,M,6/20/13
Asia,Mongolia,Fruits,Offline,M,10/28/10
Europe,Croatia,Cosmetics,Online,L,6/5/11
Central America and the Caribbean,Dominican Republic,Personal Care,Offline,C,10/19/15
Europe,Serbia,Snacks,Online,C,3/1/14
Europe,Portugal,Beverages,Offline,L,12/17/12
Europe,Iceland,Household,Online,M,11/29/15
Australia and Oceania,Solomon Islands,Cereal,Online,M,8/22/12
Europe,Macedonia,Beverages,Online,M,10/15/12
Sub-Saharan Africa,Comoros,Snacks,Online,M,11/28/11
Europe,Armenia,Personal Care,Online,C,5/24/10
Europe,Netherlands,Personal Care,Online,L,4/18/17
Sub-Saharan Africa,Togo,Office Supplies,Offline,C,3/17/16
Middle East and North Africa,Somalia,Office Supplies,Offline,H,7/10/14
Europe,Netherlands,Beverages,Online,M,11/22/16
Europe,Kosovo,Fruits,Offline,L,11/27/13
Europe,Finland,Meat,Online,H,2/21/16
Europe,Norway,Clothes,Online,H,7/10/12
Middle East and North Africa,Yemen,Cereal,Online,C,12/22/11
Middle East and North Africa,Pakistan,Vegetables,Offline,M,11/27/16
Asia,Vietnam,Office Supplies,Offline,M,11/16/11
Sub-Saharan Africa,Gabon,Cereal,Offline,L,10/10/12
Middle East and North Africa,Algeria,Cereal,Offline,H,1/27/10
Europe,France,Baby Food,Offline,H,6/12/10
Sub-Saharan Africa,Democratic Republic of the Congo,Office Supplies,Online,L,4/9/10
Central America and the Caribbean,Antigua and Barbuda ,Household,Online,L,7/26/14
Europe,Ukraine,Vegetables,Offline,M,6/26/10
Middle East and North Africa,Egypt,Personal Care,Offline,L,7/12/16
Europe,Romania,Household,Online,L,8/15/10
Middle East and North Africa,Tunisia ,Clothes,Online,L,3/10/17
Sub-Saharan Africa,Gabon,Baby Food,Online,L,6/28/12
Asia,Philippines,Cosmetics,Online,C,9/23/11
Sub-Saharan Africa,Malawi,Office Supplies,Offline,C,3/20/12
Middle East and North Africa,United Arab Emirates,Meat,Online,M,5/10/12
Europe,Andorra,Cosmetics,Offline,H,5/23/15
North America,Mexico,Cereal,Offline,H,6/23/10
Asia,Tajikistan,Beverages,Offline,H,5/7/14
Australia and Oceania,Tonga,Cosmetics,Offline,M,7/5/14
Europe,Spain,Fruits,Online,M,11/23/10
Sub-Saharan Africa,Togo,Meat,Offline,M,1/25/12
Sub-Saharan Africa,Niger,Vegetables,Offline,L,4/20/16
Sub-Saharan Africa,Niger,Snacks,Offline,C,5/13/15
Sub-Saharan Africa,Mauritania,Vegetables,Online,H,6/10/13
Central America and the Caribbean,Dominica,Household,Online,L,10/16/15
Europe,Georgia,Beverages,Offline,H,5/15/17
Middle East and North Africa,Libya,Beverages,Offline,C,3/16/14
Central America and the Caribbean,Nicaragua,Household,Offline,L,9/30/14
Asia,Bangladesh,Clothes,Online,H,5/12/13
Asia,Maldives,Snacks,Offline,L,11/3/16
Europe,Ukraine,Personal Care,Offline,M,4/30/10
Europe,Germany,Meat,Online,L,2/6/14
Central America and the Caribbean,Antigua and Barbuda ,Baby Food,Offline,M,8/24/11
Europe,Luxembourg,Office Supplies,Online,M,1/4/14
Middle East and North Africa,Bahrain,Baby Food,Online,L,8/6/10
Europe,Lithuania,Cereal,Online,L,10/18/10
Central America and the Caribbean,Saint Lucia,Personal Care,Offline,C,7/3/17
Sub-Saharan Africa,Guinea,Clothes,Offline,M,9/26/15
Central America and the Caribbean,The Bahamas,Office Supplies,Online,H,4/18/14
Middle East and North Africa,Iran,Meat,Offline,C,9/11/11
Sub-Saharan Africa,Cape Verde,Snacks,Online,M,1/30/15
Central America and the Caribbean,Antigua and Barbuda ,Cereal,Online,C,9/25/13
Asia,Singapore,Baby Food,Offline,L,2/22/13
Asia,Malaysia,Cereal,Online,M,2/1/16
Asia,Nepal,Snacks,Online,C,3/29/11
Middle East and North Africa,Egypt,Clothes,Online,M,11/14/14
Middle East and North Africa,Libya,Baby Food,Online,L,1/4/14
Europe,Switzerland,Cereal,Online,M,9/7/15
Middle East and North Africa,Turkey,Beverages,Offline,C,11/4/12
Asia,China,Snacks,Online,H,11/11/10
Europe,Andorra,Household,Online,M,3/5/16
Sub-Saharan Africa,Sudan,Personal Care,Offline,M,5/10/17
Central America and the Caribbean,Dominica,Fruits,Offline,C,8/11/11
Europe,United Kingdom,Personal Care,Online,M,2/22/16
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Offline,L,5/13/11
Central America and the Caribbean,Guatemala,Beverages,Online,C,10/25/12
Europe,Slovakia,Baby Food,Offline,H,5/27/14
Asia,Malaysia,Fruits,Online,C,11/11/14
Australia and Oceania,Marshall Islands,Snacks,Online,C,1/3/14
Asia,Mongolia,Fruits,Offline,C,7/3/16
Europe,Iceland,Meat,Offline,L,12/7/12
Asia,Maldives,Baby Food,Offline,C,11/16/13
Europe,Finland,Clothes,Online,C,10/29/15
Sub-Saharan Africa,Democratic Republic of the Congo,Clothes,Online,H,7/24/12
Central America and the Caribbean,Saint Lucia,Beverages,Offline,L,1/27/14
Australia and Oceania,Federated States of Micronesia,Cosmetics,Offline,M,6/23/12
Europe,Estonia,Cosmetics,Offline,L,2/9/16
Australia and Oceania,East Timor,Clothes,Offline,C,6/5/15
Sub-Saharan Africa,Republic of the Congo,Office Supplies,Online,C,2/8/17
Asia,Myanmar,Snacks,Offline,M,7/13/17
Europe,Czech Republic,Vegetables,Online,M,2/21/14
Asia,Singapore,Office Supplies,Online,H,10/23/16
Australia and Oceania,Solomon Islands,Vegetables,Online,M,10/2/13
Sub-Saharan Africa,Uganda,Vegetables,Online,L,3/6/13
Sub-Saharan Africa,Democratic Republic of the Congo,Meat,Online,C,10/17/16
Sub-Saharan Africa,Angola,Baby Food,Offline,C,1/4/16
Sub-Saharan Africa,Sao Tome and Principe,Clothes,Offline,M,11/15/10
Sub-Saharan Africa,Malawi,Snacks,Offline,L,11/9/13
Australia and Oceania,Australia,Snacks,Online,H,10/12/15
Asia,Bangladesh,Household,Offline,M,4/23/12
Sub-Saharan Africa,Djibouti,Baby Food,Online,C,5/2/15
Middle East and North Africa,Israel,Meat,Offline,H,4/14/11
Europe,Estonia,Meat,Offline,L,5/22/10
North America,Greenland,Household,Offline,H,7/30/12
Asia,Indonesia,Fruits,Online,L,4/10/11
Europe,Russia,Personal Care,Offline,H,4/26/12
Europe,Iceland,Snacks,Offline,C,1/21/15
Sub-Saharan Africa,Benin,Fruits,Offline,L,2/6/16
Middle East and North Africa,Azerbaijan,Household,Offline,C,2/17/13
Asia,North Korea,Vegetables,Online,C,4/4/16
Europe,Montenegro,Baby Food,Offline,M,12/5/13
Sub-Saharan Africa,Malawi,Meat,Online,C,8/6/14
Europe,Ukraine,Personal Care,Offline,C,8/17/12
Europe,Finland,Baby Food,Online,H,10/24/14
Australia and Oceania,Kiribati,Cosmetics,Offline,L,11/13/13
Europe,France,Snacks,Online,L,12/5/14
Europe,Switzerland,Cosmetics,Online,H,8/14/16
Sub-Saharan Africa,Ethiopia,Clothes,Online,H,11/7/14
Europe,Andorra,Household,Online,H,3/1/14
Sub-Saharan Africa,Comoros,Vegetables,Offline,H,5/21/16
North America,United States of America,Personal Care,Offline,H,10/29/16
Sub-Saharan Africa,Benin,Clothes,Online,C,8/29/15
Sub-Saharan Africa,Seychelles ,Household,Offline,L,2/9/14
Europe,Belgium,Fruits,Offline,M,9/8/10
Asia,India,Cosmetics,Offline,C,7/17/12
Europe,United Kingdom,Vegetables,Offline,M,7/11/16
Asia,Philippines,Vegetables,Offline,M,12/26/12
Europe,Switzerland,Clothes,Online,M,4/7/12
Europe,Iceland,Baby Food,Offline,H,8/16/10
Sub-Saharan Africa,Central African Republic,Household,Online,L,9/29/16
Europe,Latvia,Beverages,Offline,H,2/4/10
Sub-Saharan Africa,Ghana,Cosmetics,Online,H,11/3/12
Australia and Oceania,Samoa ,Office Supplies,Offline,H,5/13/10
Central America and the Caribbean,Honduras,Beverages,Offline,L,8/10/15
Middle East and North Africa,Azerbaijan,Household,Online,H,4/16/12
Europe,Norway,Personal Care,Offline,C,9/14/11
Middle East and North Africa,Tunisia ,Personal Care,Online,L,1/20/11
Sub-Saharan Africa,Burundi,Office Supplies,Offline,L,5/26/12
Sub-Saharan Africa,Liberia,Clothes,Online,M,4/18/11
Australia and Oceania,Tuvalu,Office Supplies,Offline,H,9/18/15
Central America and the Caribbean,El Salvador,Household,Offline,H,12/25/11
Europe,Belgium,Fruits,Online,M,12/26/13
Sub-Saharan Africa,Chad,Meat,Online,C,12/20/13
Sub-Saharan Africa,Lesotho,Household,Online,L,8/4/16
Europe,Malta,Baby Food,Online,H,6/8/12
Sub-Saharan Africa,South Africa,Clothes,Online,H,1/31/12
Europe,Belgium,Beverages,Offline,C,1/11/12
Middle East and North Africa,Somalia,Household,Online,C,8/16/13
Asia,Uzbekistan,Clothes,Online,H,9/17/11
Sub-Saharan Africa,Mauritania,Cereal,Offline,C,7/22/13
Australia and Oceania,Tonga,Meat,Offline,C,5/4/12
Sub-Saharan Africa,Ghana,Household,Online,H,9/4/13
Asia,Vietnam,Cereal,Online,C,9/1/16
Europe,Ukraine,Meat,Offline,M,2/12/10
Middle East and North Africa,Bahrain,Fruits,Offline,M,3/11/14
Sub-Saharan Africa,Gabon,Clothes,Online,M,1/15/16
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,L,6/14/11
Europe,Liechtenstein,Cosmetics,Offline,C,3/17/16
Middle East and North Africa,Tunisia ,Office Supplies,Online,H,11/14/16
Central America and the Caribbean,Nicaragua,Fruits,Online,L,6/5/12
Sub-Saharan Africa,Angola,Personal Care,Online,H,6/29/10
Sub-Saharan Africa,Sierra Leone,Vegetables,Offline,L,12/20/15
Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,Online,M,2/7/12
Sub-Saharan Africa,Lesotho,Office Supplies,Offline,C,4/11/17
Australia and Oceania,Tonga,Cereal,Offline,L,2/1/13
Europe,Cyprus,Fruits,Offline,M,4/6/16
Sub-Saharan Africa,Ethiopia,Cereal,Offline,H,4/24/14
Central America and the Caribbean,Panama,Vegetables,Offline,H,9/25/14
